region,response,term,median_beta,lower_beta,upper_beta,mean_beta,sd_beta
CBA,Evapo,(Intercept),1456.18327908123,1439.77549742439,1465.44008712747,1454.54328452315,7.84145438165315
CBA,Evapo,TipoSF_early,-39.718942637646,-48.4968385671356,-30.4528570490739,-39.9836791585013,4.65201394587934
CBA,Evapo,TipoSF_intermediate,-36.3306500680516,-45.9877976678167,-26.5071359278422,-36.4534606674871,5.78788427054759
CBA,Evapo,TipoSF_advanced,-31.4661783416201,-41.7390224094588,-22.799132267805,-31.4189880868928,5.23616377563505
CBA,Evapo,"ns(frac_area, df = 3)1",-43.1998242070204,-48.2989099683344,-37.2645006355279,-43.0595376917323,3.07280839865973
CBA,Evapo,"ns(frac_area, df = 3)2",-23.5135665846197,-45.3826459516178,-12.1398427648095,-25.4188847896928,8.69239903970391
CBA,Evapo,"ns(frac_area, df = 3)3",-17.0742853790596,-23.6631197567837,-8.37154973154459,-16.9281988570652,4.23013701249242
CBA,Evapo,"TipoSF_early:ns(frac_area, df = 3)1",81.3341695980133,71.9060834876411,91.8403022120821,81.4017550899803,5.6241433069635
CBA,Evapo,"TipoSF_intermediate:ns(frac_area, df = 3)1",69.1958741225731,61.8113010050649,78.8389562687125,69.2161559224475,5.08467622688521
CBA,Evapo,"TipoSF_advanced:ns(frac_area, df = 3)1",73.8527536101032,63.9860106666868,84.4864401739019,73.358052995052,6.13548690517552
CBA,Evapo,"TipoSF_early:ns(frac_area, df = 3)2",111.540156692009,86.454923100964,133.328342952135,113.071659043835,11.8173923973819
CBA,Evapo,"TipoSF_intermediate:ns(frac_area, df = 3)2",83.5357293079472,59.7729856764086,108.300924633988,84.08307514383,14.6234113146652
CBA,Evapo,"TipoSF_advanced:ns(frac_area, df = 3)2",82.1035714695593,61.2212294062324,108.21731613933,81.4273461316417,12.55469990375
CBA,Evapo,"TipoSF_early:ns(frac_area, df = 3)3",106.013405257322,92.2321591870049,113.535249281199,104.341277634132,6.36445973891488
CBA,Evapo,"TipoSF_intermediate:ns(frac_area, df = 3)3",71.8647806615316,59.5637676537042,82.8164912051317,71.5287562857307,7.18642869499422
CBA,Evapo,"TipoSF_advanced:ns(frac_area, df = 3)3",53.5968258044961,39.1975687187414,64.8392915028157,52.912913200458,7.45151830972456
